results random forest,,,,,,,,,results KNN,,,,,,,,,,results CNN,,,,,,,,,,,,,results XGBOOST,run_name,accuracy,precision,recall,f1,,,,
run,accuracy,precision,recall,f1,,,,,run,raw_accuracy,raw_precision,raw_recall,raw_f1,feat_accuracy,feat_precision,feat_recall,feat_f1,,,model,accuracy,recall,precision,F1 score,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.6_mcw1,0.658,0.69722977,0.658,0.65067144,,,,V
RF_e50_dNone_l1_fsqrt,0.722,0.756075397,0.722,0.712168831,,,,,knn_1_uniform_euclidean,0.09707299,0.164906977,0.098203909,0.09527766,0.806,0.828414502,0.806,0.801877706,,,resnet18 not pretrained,85.4,,,,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.6_mcw5,0.61,0.644632118,0.61,0.586641927,,,,
RF_e100_dNone_l1_fsqrt,0.796,0.823722222,0.796,0.786169775,,,,,knn_1_distance_euclidean,0.09707299,0.164906977,0.098203909,0.09527766,0.806,0.828414502,0.806,0.801877706,,,resnet18 pretrained,97.6,97.6,98.0142,97.5097,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.8_mcw1,0.63,0.671636364,0.63,0.6205796,,,,
RF_e200_dNone_l1_fsqrt,0.814,0.843587302,0.814,0.805472916,,,,,knn_3_uniform_euclidean,0.087069285,0.146239851,0.087886003,0.079807352,0.804,0.846079365,0.804,0.798014097,,,resnet34 not pretrained,84.8,,,,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.8_mcw5,0.582,0.629431097,0.582,0.566282929,,,,
RF_e50_dNone_l5_fsqrt,0.744,0.770646825,0.744,0.732812021,,,,,knn_3_distance_euclidean,0.099666543,0.163065009,0.101146884,0.096194961,0.832,0.859333333,0.832,0.827419414,,,resnet34 pretrained,98,98,98.33333,97.95,,,,,,,,,xgb_lr0.01_n50_d3_sub1.0_col0.6_mcw1,0.642,0.679800672,0.642,0.628593407,,,,
RF_e100_dNone_l5_fsqrt,0.786,0.825723665,0.786,0.777153902,,,,,knn_5_uniform_euclidean,0.094849944,0.160861539,0.09649541,0.085247193,0.834,0.866357143,0.834,0.832018149,,,resnet50 not pretrained,81.6,,,,,,,,,,,,xgb_lr0.01_n50_d3_sub1.0_col0.6_mcw5,0.608,0.648390693,0.608,0.594048878,,,,
RF_e200_dNone_l5_fsqrt,0.804,0.84297619,0.804,0.796412476,,,,,knn_5_distance_euclidean,0.101148574,0.166150411,0.102280602,0.095489588,0.844,0.868481962,0.844,0.841137501,,,resnet50 pretrained,97.4,97.4,97.8,97.3202,,,,,,,,,xgb_lr0.01_n50_d3_sub1.0_col0.8_mcw1,0.612,0.658352453,0.612,0.601506064,,,,
RF_e50_dNone_l10_fsqrt,0.724,0.746850649,0.724,0.706749362,,,,,knn_7_uniform_euclidean,0.098925528,0.175994818,0.099994224,0.087524974,0.83,0.853722222,0.83,0.825945179,,,resnet101 not pretrained,85.6,,,,,,,,,,,,xgb_lr0.01_n50_d3_sub1.0_col0.8_mcw5,0.598,0.642827534,0.598,0.584405826,,,,
RF_e100_dNone_l10_fsqrt,0.754,0.76802381,0.754,0.734792319,,,,,knn_7_distance_euclidean,0.10633568,0.181461263,0.107708445,0.098803491,0.84,0.865287518,0.84,0.836857892,,,resnet101 pretrained,96.8,96.8,97.47,96.72,,,,,,,,,xgb_lr0.01_n50_d6_sub0.8_col0.6_mcw1,0.72,0.754441919,0.72,0.709966478,,,,
RF_e200_dNone_l10_fsqrt,0.778,0.803210317,0.778,0.765592796,,,,,knn_9_uniform_euclidean,0.100037051,0.16751741,0.101365283,0.087338898,0.834,0.864053391,0.834,0.830255106,,,,,,,,,,,,,,,,xgb_lr0.01_n50_d6_sub0.8_col0.6_mcw5,0.624,0.651676407,0.624,0.605292343,,,,
RF_e50_dNone_l1_flog2,0.664,0.697781746,0.664,0.649816239,,,,,knn_9_distance_euclidean,0.111152279,0.19146657,0.112474128,0.0997289,0.84,0.868025613,0.84,0.835850844,,,,,,,,,,,,,,,,xgb_lr0.01_n50_d6_sub0.8_col0.8_mcw1,0.72,0.761015873,0.72,0.711503053,,,,
